Data,Valore patrimoniale netto (USD)
6 agosto 2024,$ 126.1974 USD
5 agosto 2024,$ 124.6863 USD
2 agosto 2024,"$ 128,8658 USD"
1 agosto 2024,$ 131.4872 USD
31 luglio 2024,133.2007 dollari USA
30 luglio 2024,"$ 131,1313 USA"
29 luglio 2024,$ 131.5768 USD
26 luglio 2024,$ 131.4105 USD
25 luglio 2024,"$ 130,3322 USD"
24 luglio 2024,"$ 131,3126 USD"
23 luglio 2024,$ 133.4458 USD
22 luglio 2024,$ 133.5381 USD
19 luglio 2024,$ 132.5830 USD
18 luglio 2024,"$ 133,6708 USD"
17 luglio 2024,$ 134.6699 USD
16 luglio 2024,"$ 135,7961 USD"
15 luglio 2024,$ 135.4128 USD
12 luglio 2024,"$ 135,3846 USD"
11 luglio 2024,"$ 134,6842 USD"
10 luglio 2024,$ 134.6910 USD
9 luglio 2024,$ 133.5742 USD
8 luglio 2024,"$ 133,6265 USD"
5 luglio 2024,$ 133.5463 USD
4 luglio 2024,$ 133.1249 USD
3 luglio 2024,$ 132.7204 USD
2 luglio 2024,"$ 131,7442 USD"
luglio 2024,$ 131.2591 USD
28 giugno 2024,"$ 130,9451 USD"
27 giugno 2024,$ 131.1972 USD
26 giugno 2024,$ 131.1893 USD
25 giugno 2024,$ 131.2040 USD
24 giugno 2024,$ 130.8084 USD
21 giugno 2024,"$ 130,7665 USD"
20 giugno 2024,"$ 131,2685 USD"
19 giugno 2024,"$ 131,3643 USD"
18 giugno 2024,$ 131.1636 USD
17 giugno 2024,$ 130.5970 USD
14 giugno 2024,$ 130.1298 USD
13 giugno 2024,"$ 130,4926 USD"
12 giugno 2024,$ 131.6376 USD
11 giugno 2024,"$ 130,3858 USD"
10 giugno 2024,$ 130.5248 USD
7 giugno 2024,$ 130.4513 USD
6 giugno 2024,"$ 130,8075 USD"
5 giugno 2024,$ 130.4507 USD
giugno 2024,"$ 129,3689 USA"
3 giugno 2024,"$ 129,6068 USA"
31 maggio 2024,"$ 129,0130 USA"
30 maggio 2024,"$ 128,2596 USA"
29 maggio 2024,"$ 128,7253 USA"
28 maggio 2024,"$ 130,0779 USA"
27 maggio 2024,"$ 130,2124 USA"
24 maggio 2024,"$ 129,9065 USA"
23 maggio 2024,"$ 129,5151 USA"
22 maggio 2024,"$ 130,2026 USA"
21 maggio 2024,"$ 130,6468 USA"
20 maggio 2024,"$ 130,6485 USA"
17 maggio 2024,"$ 130,4458 USA"
16 maggio 2024,"$ 130,2856 USA"
